User Query,Action,Amount,Recipient
Send 1456 ZAR to Jane,Send money,1456.0,Jane
How much money do I have?,Check balance,,
Send 5428 ZAR to Emma,Send money,5428.0,Emma
Move 9955 ZAR to investment,Transfer money,9955.0,investment
Transfer 7078 ZAR to Emma,Send money,7078.0,Emma
How much money do I have?,Check balance,,
What is my current balance?,Check balance,,
I want to borrow 37933 ZAR,Apply for loan,37933.0,
Move 6270 ZAR to checking,Transfer money,6270.0,checking
Check my loan status,Check loan,,
Move 5556 ZAR to investment,Transfer money,5556.0,investment
Send 8957 ZAR to Jane,Send money,8957.0,Jane
I want to send 8180 ZAR to Sarah,Send money,8180.0,Sarah
I want to send 3997 ZAR to David,Send money,3997.0,David
I need to pay 3550 ZAR for my phone,Pay bill,3550.0,phone
Send 4158 ZAR to Emma,Send money,4158.0,Emma
Pay 1665 ZAR for water,Pay bill,1665.0,water
I need to pay 2877 ZAR for my phone,Pay bill,2877.0,phone
What is my current balance?,Check balance,,
Send 6053 ZAR to investment,Transfer money,6053.0,investment
Can I get a loan for 6806 ZAR?,Apply for loan,6806.0,
Pay my water bill,Pay bill,3388.0,water
Send 8569 ZAR to Emma,Send money,8569.0,Emma
Apply for a loan of 15418 ZAR,Apply for loan,15418.0,
I want to send 6552 ZAR to John,Send money,6552.0,John
Pay my internet bill,Pay bill,2326.0,internet
Send 3307 ZAR to John,Send money,3307.0,John
Move 4076 ZAR to investment,Transfer money,4076.0,investment
Transfer 847 ZAR to John,Send money,847.0,John
How much money do I have?,Check balance,,
How much money do I have?,Check balance,,
I want to borrow 25556 ZAR,Apply for loan,25556.0,
Check my loan status,Check loan,,
Can I get a loan for 31178 ZAR?,Apply for loan,31178.0,
Pay my water bill,Pay bill,2942.0,water
Pay 3521 ZAR for phone,Pay bill,3521.0,phone
How much do I owe on my loan?,Check loan,,
Move 7484 ZAR to investment,Transfer money,7484.0,investment
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
I want to borrow 37117 ZAR,Apply for loan,37117.0,
Check my balance,Check balance,,
Transfer 7140 ZAR to Emma,Send money,7140.0,Emma
What is my loan balance?,Check loan,,
What is my loan balance?,Check loan,,
Pay my water bill,Pay bill,637.0,water
How much money do I have?,Check balance,,
How much money do I have?,Check balance,,
I need to pay 4729 ZAR for my electricity,Pay bill,4729.0,electricity
Can I get a loan for 47754 ZAR?,Apply for loan,47754.0,
Can I get a loan for 1211 ZAR?,Apply for loan,1211.0,
I want to borrow 16607 ZAR,Apply for loan,16607.0,
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
Apply for a loan of 25975 ZAR,Apply for loan,25975.0,
What is my loan balance?,Check loan,,
Can I get a loan for 47932 ZAR?,Apply for loan,47932.0,
Pay my internet bill,Pay bill,1775.0,internet
I want to send 2778 ZAR to Sarah,Send money,2778.0,Sarah
Check my loan status,Check loan,,
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
Send 1488 ZAR to Emma,Send money,1488.0,Emma
I want to borrow 48126 ZAR,Apply for loan,48126.0,
How much do I owe on my loan?,Check loan,,
I want to send 6111 ZAR to Emma,Send money,6111.0,Emma
Apply for a loan of 27019 ZAR,Apply for loan,27019.0,
How much money do I have?,Check balance,,
Transfer 4255 ZAR to my investment,Transfer money,4255.0,investment
Transfer 2464 ZAR to my savings,Transfer money,2464.0,savings
Pay my phone bill,Pay bill,3291.0,phone
Check my balance,Check balance,,
Apply for a loan of 13468 ZAR,Apply for loan,13468.0,
Move 8046 ZAR to savings,Transfer money,8046.0,savings
I want to send 4001 ZAR to David,Send money,4001.0,David
Apply for a loan of 15551 ZAR,Apply for loan,15551.0,
Pay 4584 ZAR for water,Pay bill,4584.0,water
Check my balance,Check balance,,
Send 3880 ZAR to savings,Transfer money,3880.0,savings
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
Transfer 5740 ZAR to Emma,Send money,5740.0,Emma
Send 6287 ZAR to Sarah,Send money,6287.0,Sarah
Check my loan status,Check loan,,
Send 3689 ZAR to investment,Transfer money,3689.0,investment
Can I get a loan for 28696 ZAR?,Apply for loan,28696.0,
What is my loan balance?,Check loan,,
Transfer 9605 ZAR to my investment,Transfer money,9605.0,investment
Send 3856 ZAR to Mike,Send money,3856.0,Mike
Can I get a loan for 28095 ZAR?,Apply for loan,28095.0,
How much do I owe on my loan?,Check loan,,
Send 8355 ZAR to checking,Transfer money,8355.0,checking
I want to send 7943 ZAR to Sarah,Send money,7943.0,Sarah
Check my balance,Check balance,,
Transfer 7795 ZAR to John,Send money,7795.0,John
Can I get a loan for 21631 ZAR?,Apply for loan,21631.0,
Move 4077 ZAR to savings,Transfer money,4077.0,savings
I need to pay 3258 ZAR for my water,Pay bill,3258.0,water
What is my loan balance?,Check loan,,
Pay my electricity bill,Pay bill,2850.0,electricity
What is my loan balance?,Check loan,,
Pay 3874 ZAR for electricity,Pay bill,3874.0,electricity
Pay my internet bill,Pay bill,4967.0,internet
Apply for a loan of 27004 ZAR,Apply for loan,27004.0,
Can I get a loan for 26921 ZAR?,Apply for loan,26921.0,
Pay 1034 ZAR for electricity,Pay bill,1034.0,electricity
I need to pay 2613 ZAR for my electricity,Pay bill,2613.0,electricity
Move 4419 ZAR to investment,Transfer money,4419.0,investment
Pay 4109 ZAR for phone,Pay bill,4109.0,phone
I want to borrow 46398 ZAR,Apply for loan,46398.0,
Check my loan status,Check loan,,
Move 7540 ZAR to checking,Transfer money,7540.0,checking
Apply for a loan of 19770 ZAR,Apply for loan,19770.0,
Can I get a loan for 32105 ZAR?,Apply for loan,32105.0,
How much do I owe on my loan?,Check loan,,
Send 5053 ZAR to John,Send money,5053.0,John
What is my current balance?,Check balance,,
Send 3258 ZAR to Jane,Send money,3258.0,Jane
Transfer 6274 ZAR to John,Send money,6274.0,John
Can I get a loan for 44761 ZAR?,Apply for loan,44761.0,
Pay my electricity bill,Pay bill,3227.0,electricity
Transfer 640 ZAR to my savings,Transfer money,640.0,savings
Transfer 960 ZAR to John,Send money,960.0,John
How much do I owe on my loan?,Check loan,,
Transfer 9939 ZAR to my savings,Transfer money,9939.0,savings
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Apply for a loan of 26709 ZAR,Apply for loan,26709.0,
I need to pay 2324 ZAR for my electricity,Pay bill,2324.0,electricity
I want to send 5728 ZAR to David,Send money,5728.0,David
I need to pay 4226 ZAR for my electricity,Pay bill,4226.0,electricity
I want to borrow 46490 ZAR,Apply for loan,46490.0,
Apply for a loan of 11548 ZAR,Apply for loan,11548.0,
Can I get a loan for 31535 ZAR?,Apply for loan,31535.0,
How much money do I have?,Check balance,,
Send 5975 ZAR to checking,Transfer money,5975.0,checking
Can I get a loan for 43563 ZAR?,Apply for loan,43563.0,
Can I get a loan for 47798 ZAR?,Apply for loan,47798.0,
Send 8711 ZAR to Jane,Send money,8711.0,Jane
I want to borrow 40522 ZAR,Apply for loan,40522.0,
Move 6716 ZAR to savings,Transfer money,6716.0,savings
Pay my electricity bill,Pay bill,4665.0,electricity
Apply for a loan of 32126 ZAR,Apply for loan,32126.0,
I want to send 4260 ZAR to Emma,Send money,4260.0,Emma
What is my loan balance?,Check loan,,
Apply for a loan of 27898 ZAR,Apply for loan,27898.0,
Transfer 3151 ZAR to my checking,Transfer money,3151.0,checking
What is my loan balance?,Check loan,,
Check my loan status,Check loan,,
I need to pay 3588 ZAR for my rent,Pay bill,3588.0,rent
Pay my internet bill,Pay bill,2320.0,internet
Check my loan status,Check loan,,
Pay my rent bill,Pay bill,4666.0,rent
I need to pay 4988 ZAR for my water,Pay bill,4988.0,water
I want to borrow 27103 ZAR,Apply for loan,27103.0,
Can I get a loan for 12348 ZAR?,Apply for loan,12348.0,
Can I get a loan for 14889 ZAR?,Apply for loan,14889.0,
I want to send 6941 ZAR to Sarah,Send money,6941.0,Sarah
Send 4980 ZAR to John,Send money,4980.0,John
How much money do I have?,Check balance,,
How much money do I have?,Check balance,,
Transfer 7659 ZAR to my investment,Transfer money,7659.0,investment
What is my loan balance?,Check loan,,
I need to pay 2509 ZAR for my internet,Pay bill,2509.0,internet
I want to send 4362 ZAR to David,Send money,4362.0,David
What is my loan balance?,Check loan,,
I want to send 8360 ZAR to David,Send money,8360.0,David
I want to borrow 49398 ZAR,Apply for loan,49398.0,
How much do I owe on my loan?,Check loan,,
Send 6920 ZAR to Sarah,Send money,6920.0,Sarah
What is my current balance?,Check balance,,
Send 6189 ZAR to savings,Transfer money,6189.0,savings
Check my loan status,Check loan,,
I need to pay 1440 ZAR for my electricity,Pay bill,1440.0,electricity
I need to pay 4429 ZAR for my phone,Pay bill,4429.0,phone
I want to borrow 37939 ZAR,Apply for loan,37939.0,
Send 5489 ZAR to Mike,Send money,5489.0,Mike
Transfer 3995 ZAR to my savings,Transfer money,3995.0,savings
I want to borrow 38709 ZAR,Apply for loan,38709.0,
Move 1391 ZAR to savings,Transfer money,1391.0,savings
Transfer 4771 ZAR to my investment,Transfer money,4771.0,investment
Can I get a loan for 49544 ZAR?,Apply for loan,49544.0,
What is my current balance?,Check balance,,
Move 6640 ZAR to investment,Transfer money,6640.0,investment
Check my loan status,Check loan,,
I need to pay 1660 ZAR for my water,Pay bill,1660.0,water
How much money do I have?,Check balance,,
Transfer 4122 ZAR to Jane,Send money,4122.0,Jane
Apply for a loan of 40110 ZAR,Apply for loan,40110.0,
What is my current balance?,Check balance,,
Send 7115 ZAR to Sarah,Send money,7115.0,Sarah
Can I get a loan for 45027 ZAR?,Apply for loan,45027.0,
I want to send 7259 ZAR to Emma,Send money,7259.0,Emma
I want to borrow 24176 ZAR,Apply for loan,24176.0,
Send 8249 ZAR to David,Send money,8249.0,David
How much money do I have?,Check balance,,
I want to send 408 ZAR to Sarah,Send money,408.0,Sarah
Can I get a loan for 5857 ZAR?,Apply for loan,5857.0,
Check my loan status,Check loan,,
Pay 1491 ZAR for phone,Pay bill,1491.0,phone
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
Send 4126 ZAR to savings,Transfer money,4126.0,savings
I want to borrow 7377 ZAR,Apply for loan,7377.0,
Check my balance,Check balance,,
Transfer 3769 ZAR to my investment,Transfer money,3769.0,investment
Check my loan status,Check loan,,
Transfer 6317 ZAR to my savings,Transfer money,6317.0,savings
What is my current balance?,Check balance,,
Apply for a loan of 1032 ZAR,Apply for loan,1032.0,
Transfer 3533 ZAR to Emma,Send money,3533.0,Emma
What is my current balance?,Check balance,,
Move 2836 ZAR to savings,Transfer money,2836.0,savings
Transfer 5996 ZAR to Jane,Send money,5996.0,Jane
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Check my balance,Check balance,,
Move 8809 ZAR to checking,Transfer money,8809.0,checking
Apply for a loan of 6759 ZAR,Apply for loan,6759.0,
How much do I owe on my loan?,Check loan,,
I want to send 9677 ZAR to David,Send money,9677.0,David
Move 1550 ZAR to checking,Transfer money,1550.0,checking
Transfer 3630 ZAR to Emma,Send money,3630.0,Emma
Send 2642 ZAR to checking,Transfer money,2642.0,checking
Send 5951 ZAR to savings,Transfer money,5951.0,savings
Move 2948 ZAR to checking,Transfer money,2948.0,checking
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Move 3952 ZAR to checking,Transfer money,3952.0,checking
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
I need to pay 1614 ZAR for my rent,Pay bill,1614.0,rent
Move 3867 ZAR to checking,Transfer money,3867.0,checking
Send 2333 ZAR to savings,Transfer money,2333.0,savings
Transfer 378 ZAR to my savings,Transfer money,378.0,savings
Transfer 4281 ZAR to my savings,Transfer money,4281.0,savings
Pay my internet bill,Pay bill,4881.0,internet
Move 7350 ZAR to savings,Transfer money,7350.0,savings
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Apply for a loan of 18819 ZAR,Apply for loan,18819.0,
Check my loan status,Check loan,,
How much do I owe on my loan?,Check loan,,
Send 638 ZAR to investment,Transfer money,638.0,investment
Send 3830 ZAR to Mike,Send money,3830.0,Mike
What is my current balance?,Check balance,,
Can I get a loan for 37322 ZAR?,Apply for loan,37322.0,
How much do I owe on my loan?,Check loan,,
I need to pay 787 ZAR for my rent,Pay bill,787.0,rent
Move 6741 ZAR to checking,Transfer money,6741.0,checking
Send 3749 ZAR to savings,Transfer money,3749.0,savings
Send 8001 ZAR to savings,Transfer money,8001.0,savings
Transfer 73 ZAR to Jane,Send money,73.0,Jane
Pay my internet bill,Pay bill,1552.0,internet
How much do I owe on my loan?,Check loan,,
Transfer 684 ZAR to my investment,Transfer money,684.0,investment
How much money do I have?,Check balance,,
Check my loan status,Check loan,,
Can I get a loan for 46920 ZAR?,Apply for loan,46920.0,
What is my loan balance?,Check loan,,
Transfer 8075 ZAR to Jane,Send money,8075.0,Jane
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
Transfer 9392 ZAR to Jane,Send money,9392.0,Jane
What is my loan balance?,Check loan,,
Apply for a loan of 30122 ZAR,Apply for loan,30122.0,
Pay my water bill,Pay bill,4807.0,water
What is my current balance?,Check balance,,
Send 1388 ZAR to John,Send money,1388.0,John
How much money do I have?,Check balance,,
Send 4401 ZAR to Emma,Send money,4401.0,Emma
I need to pay 848 ZAR for my phone,Pay bill,848.0,phone
Pay 4644 ZAR for phone,Pay bill,4644.0,phone
Pay my internet bill,Pay bill,2600.0,internet
Pay my electricity bill,Pay bill,557.0,electricity
Pay 4129 ZAR for water,Pay bill,4129.0,water
I want to borrow 41260 ZAR,Apply for loan,41260.0,
Pay my water bill,Pay bill,2998.0,water
Send 7754 ZAR to David,Send money,7754.0,David
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Check my loan status,Check loan,,
I want to send 5265 ZAR to John,Send money,5265.0,John
I want to borrow 43793 ZAR,Apply for loan,43793.0,
Send 7082 ZAR to Sarah,Send money,7082.0,Sarah
Check my loan status,Check loan,,
Send 9178 ZAR to savings,Transfer money,9178.0,savings
Can I get a loan for 31476 ZAR?,Apply for loan,31476.0,
What is my loan balance?,Check loan,,
I want to send 336 ZAR to Jane,Send money,336.0,Jane
I need to pay 4720 ZAR for my phone,Pay bill,4720.0,phone
Send 1927 ZAR to investment,Transfer money,1927.0,investment
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
Send 5356 ZAR to Emma,Send money,5356.0,Emma
I want to borrow 13744 ZAR,Apply for loan,13744.0,
Pay my electricity bill,Pay bill,3630.0,electricity
Transfer 9910 ZAR to Emma,Send money,9910.0,Emma
I need to pay 4257 ZAR for my internet,Pay bill,4257.0,internet
Transfer 1164 ZAR to Jane,Send money,1164.0,Jane
Send 3027 ZAR to investment,Transfer money,3027.0,investment
Transfer 6031 ZAR to my investment,Transfer money,6031.0,investment
Pay my rent bill,Pay bill,2220.0,rent
Pay 1264 ZAR for phone,Pay bill,1264.0,phone
Send 2032 ZAR to Sarah,Send money,2032.0,Sarah
Send 537 ZAR to David,Send money,537.0,David
I want to send 2198 ZAR to Emma,Send money,2198.0,Emma
Check my loan status,Check loan,,
Send 3156 ZAR to Mike,Send money,3156.0,Mike
I want to borrow 34589 ZAR,Apply for loan,34589.0,
I want to borrow 19277 ZAR,Apply for loan,19277.0,
Can I get a loan for 21900 ZAR?,Apply for loan,21900.0,
Send 9020 ZAR to savings,Transfer money,9020.0,savings
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
I want to borrow 36228 ZAR,Apply for loan,36228.0,
What is my loan balance?,Check loan,,
What is my current balance?,Check balance,,
I want to borrow 19495 ZAR,Apply for loan,19495.0,
Move 7046 ZAR to investment,Transfer money,7046.0,investment
Apply for a loan of 32692 ZAR,Apply for loan,32692.0,
Send 5051 ZAR to checking,Transfer money,5051.0,checking
Send 5676 ZAR to savings,Transfer money,5676.0,savings
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Move 1576 ZAR to investment,Transfer money,1576.0,investment
Send 4087 ZAR to savings,Transfer money,4087.0,savings
Apply for a loan of 13158 ZAR,Apply for loan,13158.0,
Move 6558 ZAR to investment,Transfer money,6558.0,investment
Check my loan status,Check loan,,
Apply for a loan of 38991 ZAR,Apply for loan,38991.0,
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
How much do I owe on my loan?,Check loan,,
I need to pay 3738 ZAR for my electricity,Pay bill,3738.0,electricity
Pay my internet bill,Pay bill,3293.0,internet
Move 185 ZAR to savings,Transfer money,185.0,savings
What is my loan balance?,Check loan,,
What is my current balance?,Check balance,,
I need to pay 1174 ZAR for my rent,Pay bill,1174.0,rent
I need to pay 534 ZAR for my phone,Pay bill,534.0,phone
What is my loan balance?,Check loan,,
I want to send 3866 ZAR to David,Send money,3866.0,David
What is my loan balance?,Check loan,,
Can I get a loan for 19264 ZAR?,Apply for loan,19264.0,
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Send 9133 ZAR to savings,Transfer money,9133.0,savings
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
Check my loan status,Check loan,,
Apply for a loan of 33947 ZAR,Apply for loan,33947.0,
Pay 2473 ZAR for electricity,Pay bill,2473.0,electricity
I want to borrow 41975 ZAR,Apply for loan,41975.0,
Transfer 7335 ZAR to Sarah,Send money,7335.0,Sarah
Check my balance,Check balance,,
Check my loan status,Check loan,,
Send 4784 ZAR to David,Send money,4784.0,David
I need to pay 2508 ZAR for my water,Pay bill,2508.0,water
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
What is my loan balance?,Check loan,,
Send 1723 ZAR to Mike,Send money,1723.0,Mike
Can I get a loan for 35611 ZAR?,Apply for loan,35611.0,
Move 4687 ZAR to checking,Transfer money,4687.0,checking
Send 6457 ZAR to investment,Transfer money,6457.0,investment
How much do I owe on my loan?,Check loan,,
Pay my internet bill,Pay bill,1780.0,internet
How much money do I have?,Check balance,,
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Pay 1720 ZAR for phone,Pay bill,1720.0,phone
I want to borrow 35228 ZAR,Apply for loan,35228.0,
Move 6047 ZAR to checking,Transfer money,6047.0,checking
Apply for a loan of 31810 ZAR,Apply for loan,31810.0,
Pay 2633 ZAR for electricity,Pay bill,2633.0,electricity
Apply for a loan of 2120 ZAR,Apply for loan,2120.0,
Can I get a loan for 18699 ZAR?,Apply for loan,18699.0,
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
Pay 299 ZAR for water,Pay bill,299.0,water
Pay 3438 ZAR for electricity,Pay bill,3438.0,electricity
I need to pay 2089 ZAR for my electricity,Pay bill,2089.0,electricity
What is my current balance?,Check balance,,
Transfer 1379 ZAR to my checking,Transfer money,1379.0,checking
I want to borrow 17623 ZAR,Apply for loan,17623.0,
Transfer 5062 ZAR to David,Send money,5062.0,David
Transfer 1171 ZAR to my investment,Transfer money,1171.0,investment
Transfer 9566 ZAR to my investment,Transfer money,9566.0,investment
Check my balance,Check balance,,
I want to borrow 38088 ZAR,Apply for loan,38088.0,
What is my loan balance?,Check loan,,
Move 4730 ZAR to investment,Transfer money,4730.0,investment
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Move 9651 ZAR to investment,Transfer money,9651.0,investment
Check my loan status,Check loan,,
Send 1490 ZAR to Jane,Send money,1490.0,Jane
How much do I owe on my loan?,Check loan,,
I need to pay 4509 ZAR for my rent,Pay bill,4509.0,rent
How much money do I have?,Check balance,,
Pay my phone bill,Pay bill,996.0,phone
Check my balance,Check balance,,
Transfer 5557 ZAR to John,Send money,5557.0,John
Send 5762 ZAR to investment,Transfer money,5762.0,investment
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Pay my water bill,Pay bill,613.0,water
Pay 3639 ZAR for phone,Pay bill,3639.0,phone
How much do I owe on my loan?,Check loan,,
Pay 2017 ZAR for phone,Pay bill,2017.0,phone
Apply for a loan of 13053 ZAR,Apply for loan,13053.0,
Transfer 9807 ZAR to my savings,Transfer money,9807.0,savings
I want to borrow 29714 ZAR,Apply for loan,29714.0,
I want to borrow 41536 ZAR,Apply for loan,41536.0,
Send 3240 ZAR to savings,Transfer money,3240.0,savings
Move 6553 ZAR to investment,Transfer money,6553.0,investment
I need to pay 715 ZAR for my internet,Pay bill,715.0,internet
How much money do I have?,Check balance,,
Can I get a loan for 23205 ZAR?,Apply for loan,23205.0,
Move 1369 ZAR to savings,Transfer money,1369.0,savings
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
I want to borrow 29763 ZAR,Apply for loan,29763.0,
What is my current balance?,Check balance,,
Pay my phone bill,Pay bill,992.0,phone
Apply for a loan of 5705 ZAR,Apply for loan,5705.0,
I want to send 7055 ZAR to John,Send money,7055.0,John
Send 563 ZAR to savings,Transfer money,563.0,savings
Pay 4646 ZAR for water,Pay bill,4646.0,water
I need to pay 1821 ZAR for my rent,Pay bill,1821.0,rent
What is my loan balance?,Check loan,,
Send 5640 ZAR to David,Send money,5640.0,David
Pay my rent bill,Pay bill,1661.0,rent
Check my loan status,Check loan,,
Check my balance,Check balance,,
Check my balance,Check balance,,
Move 1496 ZAR to savings,Transfer money,1496.0,savings
Check my loan status,Check loan,,
I want to borrow 1545 ZAR,Apply for loan,1545.0,
Transfer 637 ZAR to my checking,Transfer money,637.0,checking
I want to send 6365 ZAR to Mike,Send money,6365.0,Mike
How much money do I have?,Check balance,,
Transfer 5579 ZAR to my investment,Transfer money,5579.0,investment
How much money do I have?,Check balance,,
Transfer 2145 ZAR to my investment,Transfer money,2145.0,investment
Apply for a loan of 10618 ZAR,Apply for loan,10618.0,
Pay my phone bill,Pay bill,602.0,phone
I need to pay 5000 ZAR for my internet,Pay bill,5000.0,internet
Apply for a loan of 39057 ZAR,Apply for loan,39057.0,
Send 7338 ZAR to Emma,Send money,7338.0,Emma
How much money do I have?,Check balance,,
Transfer 6316 ZAR to my investment,Transfer money,6316.0,investment
Transfer 9368 ZAR to my investment,Transfer money,9368.0,investment
Apply for a loan of 1779 ZAR,Apply for loan,1779.0,
Check my balance,Check balance,,
Apply for a loan of 16429 ZAR,Apply for loan,16429.0,
Transfer 1005 ZAR to Jane,Send money,1005.0,Jane
I want to send 4830 ZAR to David,Send money,4830.0,David
Move 2008 ZAR to savings,Transfer money,2008.0,savings
How much money do I have?,Check balance,,
I need to pay 3466 ZAR for my internet,Pay bill,3466.0,internet
Pay 2195 ZAR for electricity,Pay bill,2195.0,electricity
Transfer 3315 ZAR to my checking,Transfer money,3315.0,checking
I want to send 240 ZAR to Jane,Send money,240.0,Jane
Pay my rent bill,Pay bill,3254.0,rent
What is my loan balance?,Check loan,,
Transfer 8447 ZAR to Emma,Send money,8447.0,Emma
Transfer 5595 ZAR to Jane,Send money,5595.0,Jane
Transfer 4260 ZAR to my savings,Transfer money,4260.0,savings
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
How much do I owe on my loan?,Check loan,,
Pay 3574 ZAR for phone,Pay bill,3574.0,phone
Transfer 1735 ZAR to David,Send money,1735.0,David
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Can I get a loan for 42631 ZAR?,Apply for loan,42631.0,
Check my balance,Check balance,,
I need to pay 4731 ZAR for my internet,Pay bill,4731.0,internet
Transfer 8940 ZAR to Jane,Send money,8940.0,Jane
Transfer 5881 ZAR to my checking,Transfer money,5881.0,checking
Send 6929 ZAR to Mike,Send money,6929.0,Mike
Transfer 3420 ZAR to my investment,Transfer money,3420.0,investment
How much money do I have?,Check balance,,
Transfer 522 ZAR to my checking,Transfer money,522.0,checking
Can I get a loan for 17758 ZAR?,Apply for loan,17758.0,
How much do I owe on my loan?,Check loan,,
Send 9356 ZAR to savings,Transfer money,9356.0,savings
Send 9512 ZAR to Sarah,Send money,9512.0,Sarah
I need to pay 3341 ZAR for my rent,Pay bill,3341.0,rent
Move 2279 ZAR to investment,Transfer money,2279.0,investment
Pay my rent bill,Pay bill,3569.0,rent
Move 4089 ZAR to savings,Transfer money,4089.0,savings
Transfer 3038 ZAR to my checking,Transfer money,3038.0,checking
Move 6314 ZAR to investment,Transfer money,6314.0,investment
Transfer 395 ZAR to David,Send money,395.0,David
Apply for a loan of 13889 ZAR,Apply for loan,13889.0,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Transfer 8428 ZAR to Jane,Send money,8428.0,Jane
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
I want to borrow 33397 ZAR,Apply for loan,33397.0,
Check my balance,Check balance,,
Transfer 7551 ZAR to Mike,Send money,7551.0,Mike
Transfer 3767 ZAR to my investment,Transfer money,3767.0,investment
Apply for a loan of 14339 ZAR,Apply for loan,14339.0,
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Apply for a loan of 14786 ZAR,Apply for loan,14786.0,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Send 7884 ZAR to Emma,Send money,7884.0,Emma
I need to pay 3264 ZAR for my rent,Pay bill,3264.0,rent
Check my loan status,Check loan,,
I want to borrow 20102 ZAR,Apply for loan,20102.0,
Pay 1053 ZAR for phone,Pay bill,1053.0,phone
I want to borrow 10531 ZAR,Apply for loan,10531.0,
Pay my rent bill,Pay bill,1189.0,rent
I want to borrow 14846 ZAR,Apply for loan,14846.0,
I want to borrow 35459 ZAR,Apply for loan,35459.0,
How much do I owe on my loan?,Check loan,,
Pay 1940 ZAR for electricity,Pay bill,1940.0,electricity
I need to pay 2108 ZAR for my water,Pay bill,2108.0,water
I need to pay 3032 ZAR for my electricity,Pay bill,3032.0,electricity
Transfer 5470 ZAR to my investment,Transfer money,5470.0,investment
I need to pay 2294 ZAR for my electricity,Pay bill,2294.0,electricity
How much money do I have?,Check balance,,
Pay my internet bill,Pay bill,454.0,internet
Pay 4883 ZAR for rent,Pay bill,4883.0,rent
What is my loan balance?,Check loan,,
I need to pay 2255 ZAR for my internet,Pay bill,2255.0,internet
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Transfer 6309 ZAR to my checking,Transfer money,6309.0,checking
Transfer 1650 ZAR to my checking,Transfer money,1650.0,checking
What is my loan balance?,Check loan,,
Can I get a loan for 28035 ZAR?,Apply for loan,28035.0,
I need to pay 3873 ZAR for my internet,Pay bill,3873.0,internet
Pay 973 ZAR for water,Pay bill,973.0,water
Apply for a loan of 6168 ZAR,Apply for loan,6168.0,
Check my balance,Check balance,,
How much money do I have?,Check balance,,
I want to borrow 18108 ZAR,Apply for loan,18108.0,
Check my loan status,Check loan,,
I need to pay 3718 ZAR for my phone,Pay bill,3718.0,phone
What is my loan balance?,Check loan,,
Transfer 3508 ZAR to John,Send money,3508.0,John
Transfer 5698 ZAR to my savings,Transfer money,5698.0,savings
Pay my internet bill,Pay bill,4416.0,internet
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
I need to pay 1271 ZAR for my rent,Pay bill,1271.0,rent
Can I get a loan for 10437 ZAR?,Apply for loan,10437.0,
Can I get a loan for 26406 ZAR?,Apply for loan,26406.0,
Send 2503 ZAR to Mike,Send money,2503.0,Mike
What is my current balance?,Check balance,,
Can I get a loan for 21679 ZAR?,Apply for loan,21679.0,
Can I get a loan for 6765 ZAR?,Apply for loan,6765.0,
Pay 2591 ZAR for electricity,Pay bill,2591.0,electricity
Transfer 5958 ZAR to my investment,Transfer money,5958.0,investment
Send 2480 ZAR to savings,Transfer money,2480.0,savings
How much money do I have?,Check balance,,
